event_definition;coding_system;code;code_name;algo_name;comments;Finland;SAIL;EFEMERIS;Norway;SNDS;ARS;ER;event_abbreviation
Neuropathic pain;ICD9;172;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;174;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;175;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;176;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;177;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;178;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;179;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;180;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;181;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;182;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;183;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;184;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;185;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;186;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;187;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;188;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;189;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;190;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;191;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;192;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;193;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;194;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;195;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;196;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;197;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;198;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;199;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;200;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;201;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;202;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;203;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;204;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;205;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;206;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;207;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;208;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;337.2;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;353.0;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;353.1;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;353.2;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;353.3;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;353.4;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;353.8;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;353.9;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;354.4;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;355.7;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;355.9;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;729.2;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;353.0;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;353.1;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;353.8;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;353.9;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;354.0;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;354.1;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;354.2;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;354.3;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;354.5;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;354.8;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;354.9;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;355.0;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;355.1;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;355.2;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;355.3;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;355.4;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;355.5;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;355.6;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;355.8;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;357.3;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;357.4;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;357.8;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;357.9;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;337.2;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;353.2;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;353.3;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;353.4;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;354.4;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;355.7;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;355.9;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;729.2;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;042.0;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;353.6;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;350.1;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;350.2;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;352.1;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ATC;N02AX02;tramadol;algo_M1;;1;0;0;1;0;1;1;Neuropathic_pain
Neuropathic pain;ATC;N01BB02;lidocaine plaster;algo_M1;;0;1;1;1;1;1;1;Neuropathic_pain
Neuropathic pain;ATC;N01BX04 ;capsaicin;algo_M1;;1;1;1;1;1;1;1;Neuropathic_pain
Neuropathic pain;ATC;N02A;strong opioids;algo_M1;;0;0;1;1;1;0;0;Neuropathic_pain
Neuropathic pain;ATC;N02AA01;morphine;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ATC;N02AA05 ;oxycodone;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ATC;N02AA55 ;oxycodone and naloxone;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ATC;N02BG08;ziconotide;algo_M1;;0;0;1;0;1;1;1;Neuropathic_pain
Neuropathic pain;ATC;N02AJ17 ;oxycodone and paracetamol;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ATC;N02AE01 ;buprenorphine;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ATC;N02AA08 ;dihydrocodeine;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ATC;N02AA03 ;hydromorphone;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ATC;N02AX06 ;tapentadol;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ATC;N07BC02 ;methadone;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ATC;M03AX01;botulinum toxin A;algo_M1;;0;0;1;1;1;1;1;Neuropathic_pain
Neuropathic pain;Read codes;N2423;Neuropathic pain;algo_M1;;0;1;0;0;0;0;0;Neuropathic_pain
Epilepsy;indication code;111;Epilepsy;algo_M1;;1;0;0;0;0;0;0;Epilepsy
Epilepsy;indication code;181;Epilepsy;algo_M1;;1;0;0;0;0;0;0;Epilepsy
Epilepsy;indication code;182;Epilepsy;algo_M1;;1;0;0;0;0;0;0;Epilepsy
Epilepsy;indication code;183;Epilepsy;algo_M1;;1;0;0;0;0;0;0;Epilepsy
Epilepsy;indication code;199;Epilepsy;algo_M1;;1;0;0;0;0;0;0;Epilepsy
Epilepsy;ICD10;G40 ;Epilepsy;algo_M1;;1;1;1;1;1;1;1;Epilepsy
Epilepsy;ICD10;G41 ;Status epilepticus;algo_M1;;1;1;1;1;1;1;1;Epilepsy
Epilepsy;ICD9;780.3x;convulsion;algo_M1;;0;0;0;0;0;1;1;Epilepsy
Epilepsy;ICD9;345.xx;epilepsy and recurrent seizures;algo_M1;;0;0;0;0;0;1;1;Epilepsy
Epilepsy;ICPC2 ;N88 ;Epilepsy;algo_M1;;1;0;0;0;0;0;0;Epilepsy
Epilepsy;ICPC2 ;N07 ;Convulsion/seizure;algo_M1;;1;0;0;0;0;0;0;Epilepsy
Epilepsy;Read codes;F25.. ;Epilepsy;algo_M1;;0;1;0;0;0;0;0;Epilepsy
Epilepsy;Read codes;1O30. ;Epilepsy confirmed;algo_M1;;0;1;0;0;0;0;0;Epilepsy
Epilepsy;Read codes;667B. ;Nocturnal epilepsy;algo_M1;;0;1;0;0;0;0;0;Epilepsy
Epilepsy;ATC;N03 ;antiepileptics;algo_M1;except N03AX16 and N03AX12;1;0;0;1;0;0;0;Epilepsy
Epilepsy;ATC;N03 ;antiepileptics;algo_M1;except N03AX16 and N03AX12 and N03AF01;0;1;1;0;1;0;0;Epilepsy
Epilepsy;ATC;N05BA09 ;clobazam;algo_M1;;1;1;1;1;1;0;0;Epilepsy
Epilepsy;ATC;N03AX14;Levitiracetam ;algo_M1;;0;0;0;0;0;1;1;Epilepsy
Epilepsy;ATC;N03AX18;Lacosamide ;algo_M1;;0;0;0;0;0;1;1;Epilepsy
Epilepsy;ATC;N03AX22;Perampanel ;algo_M1;;0;0;0;0;0;1;1;Epilepsy
Epilepsy;ATC;N03AF04;Eslicarbazepine ;algo_M1;;0;0;0;0;0;1;1;Epilepsy
Epilepsy;ATC;N03AX15;Zonisamide ;algo_M1;;0;0;0;0;0;1;1;Epilepsy
Epilepsy;ATC;N03AF03;Rufinamide ;algo_M1;;0;0;0;0;0;1;1;Epilepsy
Epilepsy;ATC;N03AX17;Stiripentol ;algo_M1;;0;0;0;0;0;1;1;Epilepsy
Epilepsy;ATC;N03AG06;Tiagabine ;algo_M1;;0;0;0;0;0;1;1;Epilepsy
Epilepsy;ATC;N03AX10;Felbamate ;algo_M1;;0;0;0;0;0;1;1;Epilepsy
Epilepsy;ATC;N03AG04;Vigabatrin ;algo_M1;;0;0;0;0;0;1;1;Epilepsy
GAD;speciality_prescriber_ Fr;33;Psychiatrist;algo_M1;;0;0;1;0;1;0;0;GAD
GAD;speciality_prescriber_ Fr;75;Psychiatrist;algo_M1;;0;0;1;0;1;0;0;GAD
GAD;speciality_prescriber_ Nr;58;Psychiatrist;algo_M1;;0;0;0;1;0;0;0;GAD
GAD;ICD10;F40 ;Phobic anxiety disorders;algo_M1;;1;1;1;1;1;1;1;GAD
GAD;ICD10;F41 ;Other anxiety disorders;algo_M1;;1;1;1;1;1;1;1;GAD
GAD;ICD10;F42 ;Obsessive-compulsive disorder;algo_M1;;1;1;1;1;1;1;1;GAD
GAD;ICD10;F43 ;Reaction to severe stress, and adjustment disorders;algo_M1;;1;1;1;1;1;1;1;GAD
GAD;ICD9;300.0 ;anxiety states;algo_M1;;0;0;0;0;0;1;1;GAD
GAD;ICD9;300.00 ;anxiety states, unspecified;algo_M1;;0;0;0;0;0;1;1;GAD
GAD;ICD9;300.02 ;generalized anxiety disorders;algo_M1;;0;0;0;0;0;1;1;GAD
GAD;ICD9;300.09 ;other anxiety states;algo_M1;;0;0;0;0;0;1;1;GAD
GAD;ICD9;309.21 ;separation anxiety disorder;algo_M1;;0;0;0;0;0;1;1;GAD
GAD;ICPC2 ;P01 ;Feeling anxious/nervous/tense;algo_M1;;1;0;0;0;0;0;0;GAD
GAD;ICPC2 ;P02 ;Acute stress reaction;algo_M1;;1;0;0;0;0;0;0;GAD
GAD;ICPC2 ;P74 ;Anxiety disorder/anxiety state;algo_M1;;1;0;0;0;0;0;0;GAD
GAD;Read codes;E20..;;algo_M1;;0;1;0;0;0;0;0;GAD
GAD;Read codes;Eu40. ;anxiety disorders;algo_M1;;0;1;0;0;0;0;0;GAD
GAD;Read codes;Eu41. ;others anxiety disorders;algo_M1;;0;1;0;0;0;0;0;GAD
GAD;Read codes;Eu34114;Persistant anxiety depression;algo_M1;;0;1;0;0;0;0;0;GAD
GAD;ATC;N05BA;benzodiazepine derivatives;algo_M1;;1;1;1;1;1;1;1;GAD
GAD;ATC;N06A;antidepressants;algo_M1;except N06AA and N06AX;1;0;0;1;0;1;1;GAD
GAD;ATC;N06A;antidepressants;algo_M1;except N06AA and N06AX21;0;1;1;0;1;0;0;GAD
Potential mise/ abuse;ICD10;F10;Alcohol withdrawal;algo_S1;;1;1;1;1;1;1;1;Potential_misuse_abuse
Potential mise/ abuse;ICD10;F11;Substance use disorders;algo_S1;;1;1;1;1;1;1;1;Potential_misuse_abuse
Potential mise/ abuse;ICD10;F12;Substance use disorders;algo_S1;;1;1;1;1;1;1;1;Potential_misuse_abuse
Potential mise/ abuse;ICD10;F13;Substance use disorders;algo_S1;;1;1;1;1;1;1;1;Potential_misuse_abuse
Potential mise/ abuse;ICD10;F14;Substance use disorders;algo_S1;;1;1;1;1;1;1;1;Potential_misuse_abuse
Potential mise/ abuse;ICD10;F15;Substance use disorders;algo_S1;;1;1;1;1;1;1;1;Potential_misuse_abuse
Potential mise/ abuse;ICD10;F16;Substance use disorders;algo_S1;;1;1;1;1;1;1;1;Potential_misuse_abuse
Potential mise/ abuse;ICD10;F17;Substance use disorders;algo_S1;;1;1;1;1;1;1;1;Potential_misuse_abuse
Potential mise/ abuse;ICD10;F18;Substance use disorders;algo_S1;;1;1;1;1;1;1;1;Potential_misuse_abuse
Potential mise/ abuse;ICD10;F19;Substance use disorders;algo_S1;;1;1;1;1;1;1;1;Potential_misuse_abuse
Potential mise/ abuse;ICD10;Z71.4;Substance use disorders;algo_S1;;1;1;1;1;1;1;1;Potential_misuse_abuse
Potential mise/ abuse;ICD10;Z71.5;Substance use disorders;algo_S1;;1;1;1;1;1;1;1;Potential_misuse_abuse
Other uses;ICD10;M79.7 ;Fibromyalgia;algo_S1;;0;0;1;0;1;0;0;Other_uses
Other uses;ICD10;G25.81 ;Restless legs syndrome;algo_S1;;0;0;1;0;1;0;0;Other_uses
Other uses;ICD10;F31 ;Bipolar disorder;algo_S1;;0;0;1;1;1;0;0;Other_uses
Other uses;ICD10;F51.0;Insomnia;algo_S1;;0;0;1;0;1;0;0;Other_uses
Other uses;ICD10;G47.0 ;Insomnia;algo_S1;;0;0;1;0;1;0;0;Other_uses
Other uses;ICD10;L29 ;Pruritus;algo_S1;;0;0;1;0;1;0;0;Other_uses
Other uses;ICD10;N95;menopause;algo_S1;;0;1;0;0;0;0;0;Other_uses
Other uses;ICD10;G12.2 ;motor neurone diseases;algo_S1;;0;1;0;0;0;0;0;Other_uses
Other uses;ICD10;G35 ;multiple sclerosis;algo_S1;;0;1;0;0;0;0;0;Other_uses
Neuropathic pain;ICD10;B02 ;;algo_S5;;1;1;1;1;1;1;1;Neuropathic_pain_S5
Neuropathic pain;ICD10;G50.0 ;;algo_S5;;1;1;1;1;1;1;1;Neuropathic_pain_S5
Neuropathic pain;ICD10;G53.0 ;;algo_S5;;1;1;1;1;1;1;1;Neuropathic_pain_S5
Neuropathic pain;ICD10;G54.6 ;;algo_S5;;1;1;1;1;1;1;1;Neuropathic_pain_S5
Neuropathic pain;ICD10;G95.8 ;;algo_S5;;1;1;1;1;1;1;1;Neuropathic_pain_S5
Neuropathic pain;ICD10;M79.7 ;;algo_S5;;1;1;1;1;1;1;1;Neuropathic_pain_S5
Neuropathic pain;ICD10;T92.6 ;;algo_S5;;1;1;1;1;1;1;1;Neuropathic_pain_S5
Neuropathic pain;ICD10;T936;;algo_S5;;1;1;1;1;1;1;1;Neuropathic_pain_S5
Neuropathic pain;ICD10;G13.0 ;;algo_S5;;1;1;1;1;1;1;1;Neuropathic_pain_S5
Neuropathic pain;ICD10;G52.1 ;;algo_S5;;1;1;1;1;1;1;1;Neuropathic_pain_S5
Neuropathic pain;ICD10;G56;;algo_S5;;1;1;1;1;1;1;1;Neuropathic_pain_S5
Neuropathic pain;ICD10;G57 ;;algo_S5;;1;1;1;1;1;1;1;Neuropathic_pain_S5
Neuropathic pain;ICD10;G58;;algo_S5;;1;1;1;1;1;1;1;Neuropathic_pain_S5
Neuropathic pain;ICD10;G59;;algo_S5;;1;1;1;1;1;1;1;Neuropathic_pain_S5
Neuropathic pain;ICD10;G60;;algo_S5;;1;1;1;1;1;1;1;Neuropathic_pain_S5
Neuropathic pain;ICD10;G61;;algo_S5;;1;1;1;1;1;1;1;Neuropathic_pain_S5
Neuropathic pain;ICD10;G62;;algo_S5;;1;1;1;1;1;1;1;Neuropathic_pain_S5
